ensembl_gene_id,shCon,shMLL1,shNRF2,shUTX
ENSG00000000003,-2.680284941,-2.680284941,-2.680284941,-1.549634774
ENSG00000000005,4.307580551,4.67702797,4.58004154,4.872484876
ENSG00000000419,-1.749770001,-1.753980055,-1.171245043,-1.549634774
ENSG00000000460,5.275806763,5.093825841,5.081306574,4.986667375
ENSG00000000938,3.287921482,3.437214328,4.07566985,3.266171546
ENSG00000000971,5.988133351,4.288445462,5.394514388,4.854087672
ENSG00000001036,1.186558019,1.085847204,1.11915879,0.714310345
ENSG00000001084,1.273473715,0.766556945,-0.449955477,1.252804883
ENSG00000001167,0.889142228,0.98706569,1.11915879,0.868911725
ENSG00000001460,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000001461,1.506624973,2.127691758,2.564758579,-0.488494342
ENSG00000001617,0.195827878,-0.478146429,-1.736849044,-0.154643054
ENSG00000001629,-1.188733326,-0.478146429,-1.736849044,-1.549634774
ENSG00000001630,2.466465346,2.786319739,2.934464546,2.886328815
ENSG00000001631,8.374508686,8.79228882,9.182303471,9.68645218
ENSG00000002016,0.774617096,1.424659038,2.01591903,2.261729738
ENSG00000002549,6.060188516,6.380514147,6.294611228,6.19162817
ENSG00000002587,2.765307357,3.455803473,2.791742406,3.833957578
ENSG00000002726,1.70728685,1.085847204,1.11915879,1.644034816
ENSG00000002919,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000002933,0.774617096,1.568253443,-0.190866838,1.252804883
ENSG00000003096,-0.785809199,-0.220325737,0.028700556,-0.923625457
ENSG00000003147,0.195827878,0.642223487,0.028700556,-0.154643054
ENSG00000003249,-1.188733326,-1.194443566,0.028700556,-1.549634774
ENSG00000003393,8.693471819,8.675710709,8.711618719,8.634795428
ENSG00000003400,1.273473715,1.568253443,1.794239672,1.951487479
ENSG00000003402,2.269089067,2.726337015,1.963610099,1.880546451
ENSG00000003436,7.727112783,7.531517563,8.552499276,8.813239134
ENSG00000003509,-2.680284941,-2.680284941,-2.680284941,-2.680284941
