ensembl_gene_id,SYMBOL,logFC,logCPM,PValue,FDR,ROS hallmark
ENSG00000204472,AIF1,9.025174153,1.582144756,2.34E-40,1.62E-38,
ENSG00000142168,SOD1,7.315282469,-0.078629337,3.15E-13,3.49E-12,ROS
ENSG00000268651,CTAG1A,6.390608229,0.4301388,1.64E-07,1.06E-06,
ENSG00000170417,TMEM182,6.254823211,0.328679156,6.20E-07,3.72E-06,
ENSG00000214960,CRPPA,6.254823211,0.376779552,6.20E-07,3.72E-06,
ENSG00000164675,IQUB,6.104917738,-0.437134368,2.35E-06,1.32E-05,
ENSG00000008226,DLEC1,5.93761048,0.303844445,8.94E-06,4.71E-05,
ENSG00000120645,IQSEC3,5.93761048,0.023260497,8.94E-06,4.71E-05,
ENSG00000160799,CCDC12,5.93761048,-0.988648168,8.94E-06,4.71E-05,
ENSG00000173599,PC,5.93761048,0.296822052,8.94E-06,4.71E-05,
ENSG00000269891,ARHGAP19-SLIT1,5.93761048,0.180402315,8.94E-06,4.71E-05,
ENSG00000008323,PLEKHG6,5.748324108,-0.683579981,3.42E-05,0.000165411,
ENSG00000135540,NHSL1,5.748324108,-0.358683517,3.42E-05,0.000165411,
ENSG00000089123,TASP1,5.530397833,-0.194057798,0.00013176,0.000583906,
ENSG00000105388,CEACAM5,5.530397833,-0.875914305,0.00013176,0.000583906,
ENSG00000116586,LAMTOR2,5.530397833,-0.512031778,0.00013176,0.000583906,
ENSG00000125046,SSUH2,5.530397833,-0.984389216,0.00013176,0.000583906,
ENSG00000139687,RB1,5.530397833,-0.824048034,0.00013176,0.000583906,
ENSG00000140557,ST8SIA2,5.530397833,-0.396494087,0.00013176,0.000583906,
ENSG00000152234,ATP5F1A,5.530397833,-0.68356598,0.00013176,0.000583906,
ENSG00000162066,AMDHD2,5.530397833,0.048504807,0.00013176,0.000583906,
ENSG00000163421,PROK2,5.530397833,-0.551409196,0.00013176,0.000583906,
ENSG00000179833,SERTAD2,5.530397833,-0.778600587,0.00013176,0.000583906,
ENSG00000187372,PCDHB13,5.530397833,-0.557288983,0.00013176,0.000583906,
ENSG00000198756,COLGALT2,5.530397833,-0.15808328,0.00013176,0.000583906,
ENSG00000213190,MLLT11,5.530397833,-0.7779108,0.00013176,0.000583906,
ENSG00000214655,ZSWIM8,5.530397833,-0.875985628,0.00013176,0.000583906,
ENSG00000242574,HLA-DMB,5.530397833,-0.31811903,0.00013176,0.000583906,
ENSG00000074527,NTN4,5.273592895,-0.463212176,0.000512591,0.002072947,
ENSG00000087053,MTMR2,5.273592895,-0.929753128,0.000512591,0.002072947,
ENSG00000099203,TMED1,5.273592895,-1.226715989,0.000512591,0.002072947,
ENSG00000101638,ST8SIA5,5.273592895,-0.876528914,0.000512591,0.002072947,
ENSG00000105664,COMP,5.273592895,-1.098722935,0.000512591,0.002072947,
ENSG00000109321,AREG,5.273592895,-0.928128805,0.000512591,0.002072947,
ENSG00000111639,MRPL51,5.273592895,-0.157485653,0.000512591,0.002072947,
ENSG00000111731,C2CD5,5.273592895,-1.159936416,0.000512591,0.002072947,
ENSG00000124089,MC3R,5.273592895,-0.545233958,0.000512591,0.002072947,
ENSG00000135378,PRRG4,5.273592895,-0.983061853,0.000512591,0.002072947,
ENSG00000137845,ADAM10,5.273592895,-0.773993431,0.000512591,0.002072947,
ENSG00000144644,GADL1,5.273592895,-0.778176736,0.000512591,0.002072947,
ENSG00000145782,ATG12,5.273592895,-0.824301083,0.000512591,0.002072947,
ENSG00000149260,CAPN5,5.273592895,-0.824838747,0.000512591,0.002072947,
ENSG00000153162,BMP6,5.273592895,2.596550299,0.000512591,0.002072947,
ENSG00000172831,CES2,5.273592895,-0.326638507,0.000512591,0.002072947,
ENSG00000174123,TLR10,5.273592895,-0.088250762,0.000512591,0.002072947,
ENSG00000176009,ASCL3,5.273592895,-0.825896969,0.000512591,0.002072947,
ENSG00000181031,RPH3AL,5.273592895,-0.979542999,0.000512591,0.002072947,
ENSG00000182704,TSKU,5.273592895,-0.77666983,0.000512591,0.002072947,
ENSG00000184374,COLEC10,5.273592895,-1.037875355,0.000512591,0.002072947,
ENSG00000188677,PARVB,5.273592895,-0.390446488,0.000512591,0.002072947,
ENSG00000214688,C10orf105,5.273592895,0.01627586,0.000512591,0.002072947,
ENSG00000262209,PCDHGB3,5.273592895,-1.098958085,0.000512591,0.002072947,
ENSG00000004864,SLC25A13,4.960958855,-0.594980416,0.002021324,0.007258338,
ENSG00000061987,MON2,4.960958855,-0.87677813,0.002021324,0.007258338,
ENSG00000064933,PMS1,4.960958855,-1.034991655,0.002021324,0.007258338,
ENSG00000078369,GNB1,4.960958855,-0.587691767,0.002021324,0.007258338,
ENSG00000102098,SCML2,4.960958855,-0.877961734,0.002021324,0.007258338,
ENSG00000105398,SULT2A1,4.960958855,0.135814557,0.002021324,0.007258338,
ENSG00000107372,ZFAND5,4.960958855,-0.872140088,0.002021324,0.007258338,
ENSG00000116786,PLEKHM2,4.960958855,-0.324987288,0.002021324,0.007258338,
ENSG00000119004,CYP20A1,4.960958855,-1.292741937,0.002021324,0.007258338,
ENSG00000125850,OVOL2,4.960958855,-0.928772833,0.002021324,0.007258338,
ENSG00000129226,CD68,4.960958855,-0.874599698,0.002021324,0.007258338,
ENSG00000129951,PLPPR3,4.960958855,-0.595182895,0.002021324,0.007258338,
ENSG00000130772,MED18,4.960958855,-0.637601453,0.002021324,0.007258338,
