Symbol,O_Con,O_NFIB,O_MLL1,A_Con,A_NFIB,A_MLL1,NFIB,H3K4me3,TF,Adipo,Osteo,Cluster
1500009L16Rik,1.714152475,1.650957445,-8.252235565,5.884279331,-2.097776942,-5.029248575,2.296627824,1.787945713,0,0,0,cluster2
A530016L24Rik,0.773881288,1.03021211,-0.519949125,4.063868257,-3.585914932,-1.773698797,1.149132455,1.37075838,0,0,0,cluster3
Abca1,1.86174704,6.888385345,0.575778514,3.776418282,-2.151568067,-1.519818137,2.17503496,1.84161233,0,0,0,cluster3
Abhd15,1.414648518,-0.256023047,-0.394159119,3.219146485,-3.508747073,-3.608534455,2.350037773,0,0,0,0,cluster3
Acacb,2.423746938,2.50207819,-1.083076636,2.121201432,-1.46038405,-0.684926465,1.76252833,0,0,0,0,cluster1
Acadm,0.738779133,6.690138158,-0.111544456,1.582897647,-1.675392256,-1.244648152,1.935325225,1.584191216,0,0,0,cluster3
Acat3,1.587123722,0.768602738,-0.58707908,3.055647751,-2.148851126,-2.2937264,4.157759137,1.400557475,0,0,0,cluster3
Acsl1,-0.584767617,4.747932342,-1.173927109,3.708918486,-4.511812127,-4.585921965,1.558698523,1.217384838,0,0,0,cluster3
Acsm3,1.512142021,0.398438067,-1.937622492,5.148757155,-3.82692303,-3.457225133,0,0,0,0,0,cluster1
Actn3,1.76105208,2.068420894,-1.841060147,2.893854154,-0.962182861,-3.214922168,1.483880994,1.219148948,0,0,1,cluster1
Adamts15,5.897632203,2.281752713,-1.469122882,9.098292092,-4.343498557,-3.285744664,3.055049105,0,0,0,0,cluster2
Adamts8,9.918230621,-0.386770203,-3.733574395,7.389071488,-5.804202951,-6.434505061,1.287384081,0,0,0,0,cluster2
Adgrf1,9.340104216,-0.715031291,-2.068091738,3.87122318,-3.871317147,0.356361744,2.385644406,0,0,0,0,cluster1
Adig,1.99981001,-2.387902934,-1.066688429,6.697193783,-6.112325251,-7.327589851,1.108351148,0,0,1,0,cluster3
Adipoq,-3.140355623,-3.671615852,5.13E-15,12.16270787,-9.992876832,-8.838907622,2.068033241,0,0,1,0,cluster3
Adrb3,-3.140355623,-3.672140768,5.13E-15,6.561538684,-5.976670152,-7.191934752,0.958568039,0,0,1,0,cluster3
Agpat2,0.666423865,4.57232505,-1.570410924,3.130378627,-2.99130985,-3.378054918,1.712170378,2.034244357,0,0,0,cluster3
Agt,7.402497217,5.911158873,0.927598001,10.6102366,-6.855443071,-2.267174461,1.398638398,0,0,0,0,cluster3
Aifm2,0.965086512,4.648658097,-0.428180073,1.477880752,-1.909500344,-1.073852993,2.124072603,1.936941189,0,0,0,cluster3
Akr1c13,1.437152339,4.406292279,0.038311595,1.282662933,-2.428187344,-1.137099279,0,2.240069916,0,0,0,cluster3
Aldh6a1,1.38410562,5.494649705,0.343036882,2.624860317,-2.147201389,-1.337943671,0,1.276244078,0,1,0,cluster3
Angpt2,2.100494106,2.110422421,1.036539264,2.16981877,-2.502488081,-1.602275464,3.021477137,0.297990952,0,0,0,cluster3
Angptl1,1.549793042,-1.942622242,-0.304579802,6.760519725,-3.005726184,-4.390915787,0,0,0,0,0,cluster3
Angptl4,2.973473425,4.618288235,-0.51086532,2.597398185,-2.695339479,-1.827614716,1.53967992,1.210301713,0,0,0,cluster3
Ankef1,4.087761124,0.403763428,-3.552249576,8.004248602,-2.374985949,-5.46471967,0.79393168,2.103465544,0,0,0,cluster2
Aoc3,1.994752111,3.85003765,-1.876856568,6.667669913,-3.064879476,-3.456092866,1.221180343,0,0,0,0,cluster2
Apmap,-0.838629916,4.588251156,-0.059153295,1.710006756,-1.924627134,-1.711191073,0,1.139815392,0,0,0,cluster3
Apoc1,5.092030228,1.919463574,-0.145375519,7.26977256,-0.618814836,-0.138617395,1.857287918,0,0,0,0,cluster3
Apoc4,5.898278772,0.355831674,-1.425465345,4.499254405,-0.007495277,-1.042187631,0,0,0,0,0,cluster1
Apoe,6.55627384,4.919882333,-2.644244921,6.860252062,-2.063333055,-1.895701544,1.381615614,0,0,0,0,cluster2
Apol6,1.159421618,0.391278672,-1.563313367,6.581716562,-1.206771103,-2.647328015,1.124339158,0.386582857,0,0,0,cluster2
Aqp7,3.452344319,-1.534581176,-8.279467407,6.166679067,-5.581810534,-5.21211264,1.327932303,1.348801152,0,0,0,cluster1
Arhgap28,0.562761295,4.673333585,-1.364682136,1.311980327,-6.466651335,-1.38860852,5.744536779,1.448431431,0,0,0,cluster3
Arl4a,0.708592262,3.060606238,-0.094314876,1.538055333,-1.145831882,-1.686799621,1.98537674,1.462052986,0,1,0,cluster3
