SYMBOL,shControl,shNRF2,shMLL1,shUTX,Cluster,ROS hallmark,MLL1,H3K4,UTX,H3K27,CHE
HHATL,1.191316447,1.473315317,-3.063797244,0.185290701,cluster2,,0,0,0,0,0
AHR,1.478815892,1.352786636,-3.063797244,0,cluster2,,1,0,0,0,0
NQO1,3.706884696,1.283004266,0,-1.276533399,cluster2,ROS,0,1,0,0,1
SSPN,1.076449543,1.185495908,-0.333708422,-3.231044725,cluster2,,0,0,0,0,0
G6PC1,1.386497335,2.44282426,-0.157690503,-0.128690785,cluster2,,0,0,0,1,0
PPP6R2,4.561279621,4.742003557,-0.106452603,3.11187958,cluster2,,0,0,0,0,0
C1orf162,1.132752853,1.288870221,-0.087709586,-0.203199145,cluster2,,0,0,0,0,0
IQUB,6.104917738,2.629302287,-0.084293306,-0.452803351,cluster2,,0,0,0,0,0
TSSC4,2.496702178,1.935351381,-0.055736769,-0.253755458,cluster2,,0,0,0,0,0
EGLN1,4.561279621,4.742003557,-0.009350171,0,cluster2,,0,0,0,1,0
HJV,3.263083527,6.921401858,-0.007614378,4.02592915,cluster2,,0,0,0,0,0
PROK2,5.530397833,4.742003557,0,-0.037680467,cluster2,,0,0,0,0,0
PM20D1,1.931093351,2.578817158,0,-0.606578757,cluster2,,0,0,0,1,0
ZBTB8A,1.22659515,1.127360837,0,0.058576238,cluster2,,0,0,0,0,0
SLAMF9,1.868305315,1.475878842,0,-0.477149245,cluster2,,0,0,0,1,0
GNB1,4.960958855,5.457241365,0.035325203,0.533431446,cluster2,,0,0,0,0,0
SPRING1,1.109510917,1.191085581,0.223008337,-0.032074981,cluster2,,0,1,0,0,0
PLEKHG6,5.748324108,5.143499586,0.236991661,0.794884425,cluster2,,0,0,0,0,0
KICS2,1.069244946,1.120896491,-0.088966859,0.764030721,cluster2,,0,0,0,0,0
IFT27,1.658714917,2.02427294,1.147135302,0.016349946,cluster2,,0,0,0,0,0
ATG12,5.273592895,4.742003557,0.77661449,0.024344868,cluster2,,0,0,0,0,0
AIF1,9.025174153,8.749308034,0,2.258919213,cluster2,,0,0,0,0,0
MAP1LC3B,2.439952457,1.336571281,0.865510004,3.11187958,cluster2,,1,0,0,0,0
PSORS1C1,4.561279621,6.122946036,3.286805581,-2.978038252,cluster2,,0,1,0,0,0
SPDYA,1.035082826,1.436383168,2.897743242,-0.066374014,cluster2,,0,0,0,0,0
FES,1.495674811,2.292665342,3.286805581,-0.349769463,cluster2,ROS,0,0,0,0,1
POLR3D,1.055334466,1.371161633,3.286805581,-0.140285976,cluster2,,0,0,0,0,0
GTPBP1,2.278775903,3.729911893,4.210932547,-0.443544127,cluster2,,0,1,0,0,0
CRISPLD2,1.269391716,1.103579187,5.171445249,0,cluster2,,0,0,0,0,0
CCNB2,1.320564836,0.15472172,-5.240639771,0.034450847,cluster3,,0,0,0,0,0
POU2F3,1.649395871,0.043398241,-4.928219757,0.000969318,cluster3,,0,0,0,0,0
TXNDC2,2.362505693,1.098258531,-0.317958574,-4.152098462,cluster4,,0,0,0,0,0
ZNF337,1.522783506,-0.004168719,-4.928219757,0.078737261,cluster3,,0,0,0,0,0
INPP5F,1.457563686,-0.132497096,-4.528891121,0.44406305,cluster3,,0,0,0,0,0
COL4A2,1.231934932,0.6733545,-4.528891121,-3.231044725,cluster4,,0,0,0,0,0
NDUFAF1,1.216540402,-0.18095422,-3.974842334,3.11187958,cluster3,,1,1,0,0,0
MAL2,1.037349472,0.089262,-1.309796639,-3.231044725,cluster3,,0,1,0,0,0
RC3H1,1.543829066,0.034138475,-3.974842334,-0.119165145,cluster3,,0,0,0,0,0
WAC,1.394201652,-0.557414931,-1.95383419,-3.231044725,cluster4,,0,0,0,0,0
SANBR,1.893433942,0.308735268,-3.063797244,-0.104611864,cluster3,,1,0,0,0,0
PTPN4,1.050194099,-0.174812507,-3.063797244,-0.129989722,cluster3,,0,1,0,0,0
ABL2,1.813003029,0.062957012,-0.144297222,-3.231044725,cluster4,,1,1,0,0,0
ITGA2B,4.561279621,4.183748551,-4.528891121,0,cluster1,,1,0,0,1,0
CFAP54,1.386497335,0.71957323,-3.063797244,0.087988552,cluster3,,0,0,0,0,0
CDKN1B,2.996160259,0.196001974,-4.528891121,0,cluster1,,0,1,0,0,0
PNPT1,1.019119373,-0.366648827,-3.063797244,0.794884425,cluster3,,0,0,0,0,0
TBX21,1.181991314,1.31211235,-3.974842334,0.052334054,cluster1,,0,0,0,0,0
